"","newcase.date","region","newcases","cases.per10k"
"2070",2020-06-15,"CÓRDOBA",28,0.00550283101002498
"2071",2020-06-15,"CALDAS",4,0.000786118715717854
"2072",2020-06-15,"CAQUETÁ",1,0.000196529678929464
"2073",2020-06-15,"CASANARE",2,0.000393059357858927
"2074",2020-06-15,"CAUCA",15,0.00294794518394195
"2075",2020-06-15,"CESAR",30,0.00589589036788391
"2076",2020-06-15,"CHOCÓ",65,0.0127744291304151
"2077",2020-06-15,"CUNDINAMARCA",58,0.0113987213779089
"2078",2020-06-15,"GUAVIARE",1,0.000196529678929464
"2079",2020-06-15,"HUILA",6,0.00117917807357678
"2080",2020-06-15,"LA GUAJIRA",34,0.00668200908360176
"2081",2020-06-15,"MAGDALENA",67,0.0131674884882741
"2082",2020-06-15,"META",22,0.0043236529364482
"2083",2020-06-15,"NARIÑO",44,0.0086473058728964
"2084",2020-06-15,"NORTE DE SANTANDER",3,0.000589589036788391
"2085",2020-06-15,"QUINDÍO",1,0.000196529678929464
"2086",2020-06-15,"RISARALDA",21,0.00412712325751873
"2087",2020-06-15,"SANTANDER",60,0.0117917807357678
"2088",2020-06-15,"SUCRE",61,0.0119883104146973
"2089",2020-06-15,"TOLIMA",17,0.00334100454180088
"2090",2020-06-15,"VALLE DEL CAUCA",240,0.0471671229430712
"2091",2020-06-16,"AMAZONAS",3,0.000589589036788391
"2092",2020-06-16,"ANTIOQUIA",248,0.048739360374507
"2093",2020-06-16,"ARAUCA",4,0.000786118715717854
"2094",2020-06-16,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",1,0.000196529678929464
"2095",2020-06-16,"ATLÁNTICO",1234,0.242517623798958
"2096",2020-06-16,"BOGOTÁ, D.C.",1012,0.198888035076617
"2097",2020-06-16,"BOLÍVAR",367,0.0721263921671131
"2098",2020-06-16,"BOYACÁ",8,0.00157223743143571
"2099",2020-06-16,"CÓRDOBA",51,0.0100230136254026
"2100",2020-06-16,"CALDAS",7,0.00137570775250624
"2101",2020-06-16,"CAQUETÁ",1,0.000196529678929464
"2102",2020-06-16,"CASANARE",5,0.000982648394647318
"2103",2020-06-16,"CAUCA",21,0.00412712325751873
"2104",2020-06-16,"CESAR",50,0.00982648394647318
"2105",2020-06-16,"CHOCÓ",63,0.0123813697725562
"2106",2020-06-16,"CUNDINAMARCA",89,0.0174911414247223
"2107",2020-06-16,"GUAVIARE",12,0.00235835614715356
"2108",2020-06-16,"HUILA",12,0.00235835614715356
"2109",2020-06-16,"LA GUAJIRA",35,0.00687853876253122
"2110",2020-06-16,"MAGDALENA",103,0.0202425569297347
"2111",2020-06-16,"META",26,0.00510977165216605
"2112",2020-06-16,"NARIÑO",81,0.0159189039932865
"2113",2020-06-16,"NORTE DE SANTANDER",15,0.00294794518394195
"2114",2020-06-16,"PUTUMAYO",2,0.000393059357858927
"2115",2020-06-16,"QUINDÍO",1,0.000196529678929464
"2116",2020-06-16,"RISARALDA",25,0.00491324197323659
"2117",2020-06-16,"SANTANDER",21,0.00412712325751873
"2118",2020-06-16,"SUCRE",101,0.0198494975718758
"2119",2020-06-16,"TOLIMA",81,0.0159189039932865
"2120",2020-06-16,"VALLE DEL CAUCA",316,0.0621033785417105
"2121",2020-06-17,"AMAZONAS",7,0.00137570775250624
"2122",2020-06-17,"ANTIOQUIA",244,0.0479532416587891
"2123",2020-06-17,"ARAUCA",3,0.000589589036788391
"2124",2020-06-17,"ATLÁNTICO",1094,0.215003468748833
"2125",2020-06-17,"BOGOTÁ, D.C.",1005,0.197512327324111
"2126",2020-06-17,"BOLÍVAR",404,0.0793979902875033
"2127",2020-06-17,"BOYACÁ",3,0.000589589036788391
"2128",2020-06-17,"CÓRDOBA",52,0.0102195433043321
"2129",2020-06-17,"CALDAS",6,0.00117917807357678
"2130",2020-06-17,"CAQUETÁ",6,0.00117917807357678
"2131",2020-06-17,"CASANARE",1,0.000196529678929464
"2132",2020-06-17,"CAUCA",18,0.00353753422073034
"2133",2020-06-17,"CESAR",29,0.00569936068895444
"2134",2020-06-17,"CHOCÓ",53,0.0104160729832616
"2135",2020-06-17,"CUNDINAMARCA",77,0.0151327852775687
"2136",2020-06-17,"HUILA",2,0.000393059357858927
"2137",2020-06-17,"LA GUAJIRA",37,0.00727159812039015
"2138",2020-06-17,"MAGDALENA",104,0.0204390866086642
"2139",2020-06-17,"META",29,0.00569936068895444
"2140",2020-06-17,"NARIÑO",54,0.010612602662191
"2141",2020-06-17,"NORTE DE SANTANDER",6,0.00117917807357678
"2142",2020-06-17,"PUTUMAYO",1,0.000196529678929464
"2143",2020-06-17,"QUINDÍO",4,0.000786118715717854
"2144",2020-06-17,"RISARALDA",14,0.00275141550501249
"2145",2020-06-17,"SANTANDER",26,0.00510977165216605
"2146",2020-06-17,"SUCRE",112,0.0220113240400999
"2147",2020-06-17,"TOLIMA",69,0.013560547846133
"2148",2020-06-17,"VALLE DEL CAUCA",298,0.0585658443209801
"2149",2020-06-18,"AMAZONAS",7,0.00137570775250624
"2150",2020-06-18,"ANTIOQUIA",229,0.0450052964748471
"2151",2020-06-18,"ARAUCA",2,0.000393059357858927
"2152",2020-06-18,"ATLÁNTICO",1250,0.245662098661829
"2153",2020-06-18,"BOGOTÁ, D.C.",1312,0.257846938755456
"2154",2020-06-18,"BOLÍVAR",362,0.0711437437724658
"2155",2020-06-18,"BOYACÁ",5,0.000982648394647318
"2156",2020-06-18,"CÓRDOBA",62,0.0121848400936267
"2157",2020-06-18,"CALDAS",2,0.000393059357858927
"2158",2020-06-18,"CAQUETÁ",1,0.000196529678929464
"2159",2020-06-18,"CASANARE",5,0.000982648394647318
"2160",2020-06-18,"CAUCA",15,0.00294794518394195
"2161",2020-06-18,"CESAR",23,0.00452018261537766
"2162",2020-06-18,"CHOCÓ",58,0.0113987213779089
"2163",2020-06-18,"CUNDINAMARCA",105,0.0206356162875937
"2164",2020-06-18,"GUAVIARE",3,0.000589589036788391
"2165",2020-06-18,"HUILA",3,0.000589589036788391
"2166",2020-06-18,"LA GUAJIRA",34,0.00668200908360176
"2167",2020-06-18,"MAGDALENA",83,0.0163119633511455
"2168",2020-06-18,"META",31,0.00609242004681337
"2169",2020-06-18,"NARIÑO",65,0.0127744291304151
"2170",2020-06-18,"NORTE DE SANTANDER",21,0.00412712325751873
"2171",2020-06-18,"PUTUMAYO",1,0.000196529678929464
"2172",2020-06-18,"QUINDÍO",5,0.000982648394647318
"2173",2020-06-18,"RISARALDA",18,0.00353753422073034
"2174",2020-06-18,"SANTANDER",33,0.0064854794046723
"2175",2020-06-18,"SUCRE",130,0.0255488582608303
"2176",2020-06-18,"TOLIMA",121,0.0237800911504651
"2177",2020-06-18,"VALLE DEL CAUCA",273,0.0536526023477435
"2178",2020-06-19,"AMAZONAS",2,0.000393059357858927
"2179",2020-06-19,"ANTIOQUIA",264,0.0518838352373784
"2180",2020-06-19,"ARAUCA",1,0.000196529678929464
"2181",2020-06-19,"ATLÁNTICO",1340,0.263349769765481
"2182",2020-06-19,"BOGOTÁ, D.C.",1400,0.275141550501249
"2183",2020-06-19,"BOLÍVAR",335,0.0658374424413703
"2184",2020-06-19,"BOYACÁ",8,0.00157223743143571
"2185",2020-06-19,"CÓRDOBA",53,0.0104160729832616
"2186",2020-06-19,"CALDAS",3,0.000589589036788391
"2187",2020-06-19,"CAQUETÁ",1,0.000196529678929464
"2188",2020-06-19,"CASANARE",3,0.000589589036788391
"2189",2020-06-19,"CAUCA",27,0.00530630133109551
"2190",2020-06-19,"CESAR",36,0.00707506844146069
"2191",2020-06-19,"CHOCÓ",67,0.0131674884882741
"2192",2020-06-19,"CUNDINAMARCA",90,0.0176876711036517
"2193",2020-06-19,"GUAVIARE",4,0.000786118715717854
"2194",2020-06-19,"HUILA",4,0.000786118715717854
"2195",2020-06-19,"LA GUAJIRA",60,0.0117917807357678
"2196",2020-06-19,"MAGDALENA",106,0.0208321459665231
"2197",2020-06-19,"META",52,0.0102195433043321
"2198",2020-06-19,"NARIÑO",53,0.0104160729832616
"2199",2020-06-19,"NORTE DE SANTANDER",18,0.00353753422073034
"2200",2020-06-19,"QUINDÍO",3,0.000589589036788391
"2201",2020-06-19,"RISARALDA",25,0.00491324197323659
"2202",2020-06-19,"SANTANDER",19,0.00373406389965981
"2203",2020-06-19,"SUCRE",155,0.0304621002340668
"2204",2020-06-19,"TOLIMA",22,0.0043236529364482
"2205",2020-06-19,"VALLE DEL CAUCA",321,0.0630860269363578
"2206",2020-06-20,"AMAZONAS",1,0.000196529678929464
"2207",2020-06-20,"ANTIOQUIA",271,0.0532595429898846
"2208",2020-06-20,"ARAUCA",2,0.000393059357858927
"2209",2020-06-20,"ATLÁNTICO",1414,0.277892966006261
"2210",2020-06-20,"BOGOTÁ, D.C.",1372,0.269638719491224
"2211",2020-06-20,"BOLÍVAR",329,0.0646582643677935
"2212",2020-06-20,"BOYACÁ",12,0.00235835614715356
"2213",2020-06-20,"CÓRDOBA",81,0.0159189039932865
"2214",2020-06-20,"CALDAS",2,0.000393059357858927
"2215",2020-06-20,"CAQUETÁ",2,0.000393059357858927
"2216",2020-06-20,"CASANARE",2,0.000393059357858927
"2217",2020-06-20,"CAUCA",36,0.00707506844146069
"2218",2020-06-20,"CESAR",30,0.00589589036788391
"2219",2020-06-20,"CHOCÓ",91,0.0178842007825812
"2220",2020-06-20,"CUNDINAMARCA",135,0.0265315066554776
"2221",2020-06-20,"GUAINÍA",5,0.000982648394647318
"2222",2020-06-20,"GUAVIARE",1,0.000196529678929464
"2223",2020-06-20,"HUILA",7,0.00137570775250624
"2224",2020-06-20,"LA GUAJIRA",57,0.0112021916989794
"2225",2020-06-20,"MAGDALENA",158,0.0310516892708552
"2226",2020-06-20,"META",50,0.00982648394647318
"2227",2020-06-20,"NARIÑO",104,0.0204390866086642
"2228",2020-06-20,"NORTE DE SANTANDER",23,0.00452018261537766
"2229",2020-06-20,"PUTUMAYO",1,0.000196529678929464
"2230",2020-06-20,"RISARALDA",19,0.00373406389965981
"2231",2020-06-20,"SANTANDER",37,0.00727159812039015
"2232",2020-06-20,"SUCRE",183,0.0359649312440918
"2233",2020-06-20,"TOLIMA",14,0.00275141550501249
"2234",2020-06-20,"VALLE DEL CAUCA",338,0.0664270314781587
"2235",2020-06-21,"AMAZONAS",2,0.000393059357858927
"2236",2020-06-21,"ANTIOQUIA",246,0.048346301016648
"2237",2020-06-21,"ATLÁNTICO",892,0.175304473605081
"2238",2020-06-21,"BOGOTÁ, D.C.",959,0.188471962093356
"2239",2020-06-21,"BOLÍVAR",251,0.0493289494112953
"2240",2020-06-21,"BOYACÁ",7,0.00137570775250624
"2241",2020-06-21,"CÓRDOBA",55,0.0108091323411205
"2242",2020-06-21,"CALDAS",4,0.000786118715717854
"2243",2020-06-21,"CAQUETÁ",5,0.000982648394647318
"2244",2020-06-21,"CAUCA",27,0.00530630133109551
"2245",2020-06-21,"CESAR",26,0.00510977165216605
"2246",2020-06-21,"CHOCÓ",30,0.00589589036788391
"2247",2020-06-21,"CUNDINAMARCA",99,0.0194564382140169
"2248",2020-06-21,"HUILA",1,0.000196529678929464
"2249",2020-06-21,"LA GUAJIRA",32,0.00628894972574283
"2250",2020-06-21,"MAGDALENA",110,0.021618264682241
"2251",2020-06-21,"META",32,0.00628894972574283
"2252",2020-06-21,"NARIÑO",71,0.0139536072039919
"2253",2020-06-21,"NORTE DE SANTANDER",20,0.00393059357858927
"2254",2020-06-21,"QUINDÍO",2,0.000393059357858927
"2255",2020-06-21,"RISARALDA",9,0.00176876711036517
"2256",2020-06-21,"SANTANDER",39,0.00766465747824908
"2257",2020-06-21,"SUCRE",90,0.0176876711036517
"2258",2020-06-21,"TOLIMA",70,0.0137570775250624
"2259",2020-06-21,"VALLE DEL CAUCA",283,0.0556178991370382
"2260",2020-06-22,"AMAZONAS",3,0.000589589036788391
"2261",2020-06-22,"ANTIOQUIA",308,0.0605311411102748
"2262",2020-06-22,"ARAUCA",2,0.000393059357858927
"2263",2020-06-22,"ATLÁNTICO",946,0.185917076267272
"2264",2020-06-22,"BOGOTÁ, D.C.",873,0.171570409705422
"2265",2020-06-22,"BOLÍVAR",335,0.0658374424413703
"2266",2020-06-22,"BOYACÁ",16,0.00314447486287142
"2267",2020-06-22,"CÓRDOBA",98,0.0192599085350874
"2268",2020-06-22,"CALDAS",5,0.000982648394647318
"2269",2020-06-22,"CAQUETÁ",4,0.000786118715717854
"2270",2020-06-22,"CASANARE",1,0.000196529678929464
"2271",2020-06-22,"CAUCA",63,0.0123813697725562
"2272",2020-06-22,"CESAR",20,0.00393059357858927
"2273",2020-06-22,"CHOCÓ",55,0.0108091323411205
"2274",2020-06-22,"CUNDINAMARCA",90,0.0176876711036517
"2275",2020-06-22,"GUAVIARE",1,0.000196529678929464
"2276",2020-06-22,"LA GUAJIRA",49,0.00962995426754371
"2277",2020-06-22,"MAGDALENA",95,0.018670319498299
"2278",2020-06-22,"META",26,0.00510977165216605
"2279",2020-06-22,"NARIÑO",51,0.0100230136254026
"2280",2020-06-22,"NORTE DE SANTANDER",17,0.00334100454180088
"2281",2020-06-22,"PUTUMAYO",4,0.000786118715717854
"2282",2020-06-22,"RISARALDA",19,0.00373406389965981
"2283",2020-06-22,"SANTANDER",37,0.00727159812039015
"2284",2020-06-22,"SUCRE",116,0.0227974427558178
"2285",2020-06-22,"TOLIMA",43,0.00845077619396693
"2286",2020-06-22,"VALLE DEL CAUCA",417,0.0819528761135863
"2287",2020-06-23,"AMAZONAS",13,0.00255488582608303
"2288",2020-06-23,"ANTIOQUIA",365,0.0717333328092542
"2289",2020-06-23,"ARAUCA",17,0.00334100454180088
"2290",2020-06-23,"ATLÁNTICO",1384,0.271997075638378
"2291",2020-06-23,"BOGOTÁ, D.C.",1318,0.259026116829033
"2292",2020-06-23,"BOLÍVAR",349,0.0685888579463828
"2293",2020-06-23,"BOYACÁ",10,0.00196529678929464
"2294",2020-06-23,"CÓRDOBA",84,0.0165084930300749
"2295",2020-06-23,"CALDAS",5,0.000982648394647318
"2296",2020-06-23,"CAQUETÁ",2,0.000393059357858927
"2297",2020-06-23,"CASANARE",4,0.000786118715717854
"2298",2020-06-23,"CAUCA",38,0.00746812779931961
"2299",2020-06-23,"CESAR",29,0.00569936068895444
"2300",2020-06-23,"CHOCÓ",76,0.0149362555986392
"2301",2020-06-23,"CUNDINAMARCA",167,0.0328204563812204
"2302",2020-06-23,"GUAVIARE",2,0.000393059357858927
"2303",2020-06-23,"HUILA",7,0.00137570775250624
"2304",2020-06-23,"LA GUAJIRA",71,0.0139536072039919
"2305",2020-06-23,"MAGDALENA",145,0.0284968034447722
"2306",2020-06-23,"META",38,0.00746812779931961
"2307",2020-06-23,"NARIÑO",89,0.0174911414247223
"2308",2020-06-23,"NORTE DE SANTANDER",15,0.00294794518394195
"2309",2020-06-23,"PUTUMAYO",2,0.000393059357858927
"2310",2020-06-23,"QUINDÍO",6,0.00117917807357678
"2311",2020-06-23,"RISARALDA",15,0.00294794518394195
"2312",2020-06-23,"SANTANDER",51,0.0100230136254026
"2313",2020-06-23,"SUCRE",148,0.0290863924815606
"2314",2020-06-23,"TOLIMA",117,0.0229939724347472
"2315",2020-06-23,"VALLE DEL CAUCA",497,0.0976752504279434
"2316",2020-06-24,"AMAZONAS",6,0.00117917807357678
"2317",2020-06-24,"ANTIOQUIA",376,0.0738951592774783
"2318",2020-06-24,"ARAUCA",10,0.00196529678929464
"2319",2020-06-24,"ATLÁNTICO",1122,0.220506299758858
"2320",2020-06-24,"BOGOTÁ, D.C.",1120,0.220113240400999
"2321",2020-06-24,"BOLÍVAR",301,0.0591554333577685
"2322",2020-06-24,"BOYACÁ",12,0.00235835614715356
"2323",2020-06-24,"CÓRDOBA",102,0.0200460272508053
"2324",2020-06-24,"CALDAS",6,0.00117917807357678
"2325",2020-06-24,"CAQUETÁ",8,0.00157223743143571
"2326",2020-06-24,"CAUCA",30,0.00589589036788391
"2327",2020-06-24,"CESAR",30,0.00589589036788391
"2328",2020-06-24,"CHOCÓ",47,0.00923689490968478
"2329",2020-06-24,"CUNDINAMARCA",144,0.0283002737658428
"2330",2020-06-24,"HUILA",1,0.000196529678929464
"2331",2020-06-24,"LA GUAJIRA",61,0.0119883104146973
"2332",2020-06-24,"MAGDALENA",151,0.029675981518349
"2333",2020-06-24,"META",24,0.00471671229430713
"2334",2020-06-24,"NARIÑO",112,0.0220113240400999
"2335",2020-06-24,"NORTE DE SANTANDER",29,0.00569936068895444
"2336",2020-06-24,"PUTUMAYO",8,0.00157223743143571
"2337",2020-06-24,"QUINDÍO",2,0.000393059357858927
"2338",2020-06-24,"RISARALDA",17,0.00334100454180088
"2339",2020-06-24,"SANTANDER",45,0.00884383555182586
"2340",2020-06-24,"SUCRE",158,0.0310516892708552
"2341",2020-06-24,"TOLIMA",44,0.0086473058728964
"2342",2020-06-24,"VALLE DEL CAUCA",423,0.0831320541871631
"2343",2020-06-25,"AMAZONAS",5,0.000982648394647318
"2344",2020-06-25,"ANTIOQUIA",397,0.078022282534997
"2345",2020-06-25,"ARAUCA",6,0.00117917807357678
"2346",2020-06-25,"ATLÁNTICO",1444,0.283788856374145
"2347",2020-06-25,"BOGOTÁ, D.C.",1683,0.330759449638287
"2348",2020-06-25,"BOLÍVAR",298,0.0585658443209801
"2349",2020-06-25,"BOYACÁ",9,0.00176876711036517
"2350",2020-06-25,"CÓRDOBA",155,0.0304621002340668
"2351",2020-06-25,"CAQUETÁ",11,0.0021618264682241
"2352",2020-06-25,"CASANARE",2,0.000393059357858927
"2353",2020-06-25,"CAUCA",40,0.00786118715717854
"2354",2020-06-25,"CESAR",44,0.0086473058728964
"2355",2020-06-25,"CHOCÓ",64,0.0125778994514857
"2356",2020-06-25,"CUNDINAMARCA",169,0.0332135157390793
"2357",2020-06-25,"HUILA",5,0.000982648394647318
"2358",2020-06-25,"LA GUAJIRA",50,0.00982648394647318
"2359",2020-06-25,"MAGDALENA",170,0.0334100454180088
"2360",2020-06-25,"META",35,0.00687853876253122
"2361",2020-06-25,"NARIÑO",72,0.0141501368829214
"2362",2020-06-25,"NORTE DE SANTANDER",16,0.00314447486287142
"2363",2020-06-25,"PUTUMAYO",2,0.000393059357858927
"2364",2020-06-25,"QUINDÍO",1,0.000196529678929464
