"newcase.date","new.cases","mortalities","newcase.rate","mortality.rate"
2020-04-11,19133,209,0.104518274790124,0.0125073373368854
2020-04-12,17984,180,0.105769574301565,0.0116601100320242
2020-04-13,16823,167,0.106788844520464,0.0106582746361268
2020-04-14,19594,229,0.108385037866918,0.0102870989059402
2020-04-15,20437,239,0.109039664694902,0.00969294678770029
2020-04-16,20283,203,0.111122825683027,0.00916312527507413
2020-04-17,21936,174,0.114484188636252,0.00883282973789614
2020-04-18,19434,131,0.115760927395817,0.0081769343473104
2020-04-19,20092,127,0.115094651781037,0.00748324725015326
2020-04-20,20534,154,0.114996617399251,0.00696819697903168
2020-04-21,20614,144,0.114467894964483,0.00646724216784816
2020-04-22,19024,129,0.114548495841624,0.00614433817519609
2020-04-23,19579,125,0.11320294925882,0.00566033612343467
2020-04-24,20659,95,0.111704888605469,0.00518234591973666
2020-04-25,18976,83,0.110321459025873,0.00484763498740972
2020-04-26,17885,47,0.110457308538334,0.00449047475052918
2020-04-27,18144,76,0.112605980521049,0.00417715298357433
2020-04-28,18375,88,0.113776989572064,0.00390049662869789
2020-04-29,18662,80,0.116049429165135,0.00363546288403675
2020-04-30,21601,92,0.118915345262465,0.00346852987146456
2020-05-01,21468,61,0.122200014313026,0.00328376315073937
2020-05-02,21124,55,0.125707958839759,0.00303457097562137
2020-05-03,20743,34,0.131395815402662,0.00280373831775701
2020-05-04,21460,61,0.134419351624304,0.00265074933410353
2020-05-05,21915,63,0.136329182880389,0.00266392009511276
2020-05-06,24699,63,0.136842009023478,0.00257705719158034
2020-05-07,24396,76,0.128186630763576,0.00275671950379049
2020-05-08,22950,67,0.118264580451099,0.00295750261939616
2020-05-09,20993,41,0.108465152916014,0.00308561565766763
2020-05-10,10138,33,0.0959827319873109,0.00330249768732655
2020-05-11,9482,55,0.0841328390224393,0.00342738298617375
2020-05-12,10170,44,0.0738158900994721,0.00380496225428818
2020-05-13,9971,41,0.0641422626772795,0.00438547171932981
2020-05-14,10537,42,0.0634081102451147,0.00444640795793014
2020-05-15,10970,57,0.0631294687954634,0.00440389608526631
2020-05-16,9876,40,0.062079744978724,0.00464953066058426
2020-05-17,9163,33,0.0618593606325581,0.00488256834860362
2020-05-18,9024,50,0.0603373199523977,0.00494218997959646
2020-05-19,8853,55,0.059249846298713,0.00507637710229903
2020-05-20,9574,55,0.0583814798508485,0.00541465252055998
